Born,"William Henry Gates III (1955-10-28) October 28, 1955 (age 63)Seattle, Washington, U.S."
Residence,"Xanadu 2.0, Medina, Washington, U.S."
Occupation,"Business magnate, investor, author, philanthropist, humanitarian"
Known for,Microsoft
Net worth,$96.6 billion[1] (February 2019)
Title,Technology advisor of MicrosoftCo-chairman of the Bill & Melinda Gates FoundationCEO of Cascade InvestmentChairman of Branded Entertainment NetworkChairman of TerraPower
Board member of,MicrosoftBerkshire Hathaway
Spouse(s),Melinda French Gates (m. 1994)
Children,3
Parent(s),William H. Gates Sr.Mary Maxwell Gates
Website,gatesnotes.org
